"","ADM_RATE","ACTCMMID","UGDS","TUITIONFEE_IN","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","PFTFTUG1_EF","AGE_ENTRY","yvals","names"
"6621",0.9117,22,9714,3880,3738,14818,6917,0.9481,0.4803,23.130877034,0.3759,"University of Alabama at Birmingham"
"6623",0.905,25,4664,3764,3780,6036,6283,0.6055,0.3199,23.506841505,0.3659,"University of Alabama in Huntsville"
"6624",0.6931,16,5074,2904,3260,4067,4952,0.6021,0.8579,21.165232358,0.2071,"Alabama State University"
"6625",0.8462,24,15091,3556,4004,5762,6457,0.8313,0.6705,21.339236185,0.6276,"The University of Alabama"
"6628",0.9925,20,3358,3620,3663,4455,5732,0.5683,0.4277,23.848370335,0.2646,"Auburn University at Montgomery"
"6629",0.8289,24,19456,3784,5388,6081,7084,0.8745,0.7483,20.508533043,0.6751,"Auburn University"
"6631",0.8948,26,1316,17650,31818,19888,6042,0.5904,0.8808,19.711779449,0.7473,"Birmingham Southern College"
"6650",0.771,24,569,13800,6138,7154,4798,0.6377,0.8586,21.313953488,0.4909,"Huntingdon College"
"6660",0.3986,21,1612,3498,3353,4124,4628,1,0.5791,22.576075551,0.3137,"University of West Alabama"
"6665",0.7261,22,2474,3506,3719,4295,4783,0.6823,0.6498,21.911415525,0.4289,"University of Montevallo"
"6667",0.8413,21,4826,3140,3089,3590,5297,1,0.5688,22.603547459,0.3709,"University of North Alabama"
"6669",0.5478,19,1783,10194,7446,5418,4140,0.6456,0.9881,21.8,0.3827,"Oakwood University"
"6674",0.8859,25,2812,12294,9293,7742,6306,0.6326,0.8195,21.995088409,0.6749,"Samford University"
"6677",0.9279,22,4758,3410,3041,6510,5762,0.6842,0.4052,23.991570541,0.3433,"University of South Alabama"
"6680",0.8057,24,1169,18092,9711,5134,5070,0.5528,0.7599,21.881081081,0.6318,"Spring Hill College"
"6682",0.4644,17,1441,7848,8363,3534,4068,1,1,20.930541369,0.8837,"Stillman College"
"6683",0.4209,17,417,6727,4414,6085,3752,1,0.8151,20.363057325,0.5328,"Talladega College"
"6685",0.6875,23,1514,3220,3550,4082,5167,1,0.0888,28.779270633,0.3125,"TROY STATE UNIVERSITY DOTHAN"
"6688",0.7244,21,4976,3532,4517,3104,4888,0.399,0.2753,26.77422462,0.5643,"Troy University"
"6689",0.6704,19,1075,10784,17353,15044,4773,0.8585,0.2849,19.746217331,0.4951,"Tuskegee University"
"6695",0.9273,24,409,11680,9275,6541,4859,1,0.1643,28.309090909,0.5172,"Alaska Pacific University"
"6715",0.8474,23,35573,2585,4452,6396,7432,0.8498,0.5612,23.379046047,0.5191,"Arizona State University-Tempe"
"6717",0.8558,24,27539,2593,4750,9311,7863,0.8012,0.7227,21.982430939,0.5457,"University of Arizona"
"6731",0.7809,24,1651,18420,14089,8880,5699,0.701,0.674,23.414410172,0.5671,"Embry-Riddle Aeronautical University-Prescott"
"6733",0.594,22,1501,14353,8100,5218,4063,0.91,0.3741,25.597802198,0.4853,"Grand Canyon University"
"6747",0.8148,23,11181,2585,3002,5262,5712,0.9601,0.5572,23.875244618,0.4566,"Northern Arizona University"
"6772",0.9739,20,9192,2850,3046,4276,5632,0.6181,0.3279,25.17227392,0.2214,"University of Arkansas at Little Rock"
"6777",0.7384,25,503,11940,5275,10071,4943,0.75,1,21.183333333,0.5116,"Lyon College"
"6780",0.8611,25,12565,4456,3741,6356,6643,0.9424,0.6413,21.914139057,0.4558,"University of Arkansas"
"6781",0.7192,16,2971,3458,1286,3894,4574,0.7778,0.8359,21.35788895,0.2748,"University of Arkansas at Pine Bluff"
"6783",0.7265,22,8826,4480,2115,4449,5078,0.7461,0.6287,24.283718357,0.3643,"Arkansas State University-Main Campus"
"6784",0.5188,22,5243,3076,1856,3228,5026,0.6129,0.971,23.341962288,0.4072,"Arkansas Tech University"
"6791",0.678,24,7638,3990,2511,4435,4946,0.7587,0.7689,21.690125477,0.3674,"University of Central Arkansas"
"6792",0.8133,21,382,6984,6356,3015,3159,1,0.9891,22.203539823,0.4886,"Central Baptist College"
"6808",0.7786,23,4089,9180,6699,5336,5039,1,0.8293,20.407578085,0.5674,"Harding University"
"6809",0.6871,22,3144,3252,2564,8254,5091,0.9814,0.6836,22.594859241,0.2969,"Henderson State University"
"6813",0.9914,25,1517,13044,6626,5636,4736,1,0.6273,26.353971963,0.5564,"John Brown University"
"6824",0.9135,24,1653,12010,3886,5114,5084,0.7048,0.8186,19.966555184,0.5188,"Ouachita Baptist University"
"6827",0.8403,22,703,10562,5622,7103,4971,0.7049,1,20.274193548,0.4455,"University of the Ozarks"
"6839",0.6944,21,612,7650,4255,2284,4007,0.5909,0.7255,21.569148936,0.4022,"Williams Baptist College"
"6842",0.9914,20,2747,3006,1559,3706,4884,1,0.9947,22.399283154,0.2942,"Southern Arkansas University Main Campus"
"6870",0.809,23,4059,17140,11894,5875,5625,1,0.9382,26.56848829,0.5543,"Azusa Pacific University"
"6876",0.7667,24,3049,18456,11209,6801,5582,0.5127,0.5462,22.830269608,0.6265,"Biola University"
"6886",0.8266,22,1596,12790,9583,4705,5132,0.4777,0.4039,26.463529412,0.4703,"California Baptist University"
"6890",0.7345,25,1891,19050,10866,6498,5905,1,1,21.902150538,0.7031,"California Lutheran University"
"6910",0.6284,24,22646,4630,4653,13071,8643,0.8149,0.479,21.015973298,0.7821,"University of California-Davis"
"6912",0.2689,26,24899,4225,5827,20889,9838,0.7773,0.6377,21.337353155,0.8455,"University of California-Los Angeles"
"6914",0.4239,29,19059,4493,4814,13354,9354,0.8512,0.7074,20.494398585,0.8122,"University of California-San Diego"
"6917",0.8075,24,12839,4385,5223,8299,8112,0.705,0.7381,20.634715026,0.668,"University of California-Santa Cruz"
"6943",0.5953,25,3217,23316,11569,8189,7187,0.4104,0.6971,28.665986395,0.555,"Chapman University"
"6945",0.7027,22,922,17300,8884,4614,4014,0.4286,0.4754,23.041830065,0.5758,"Concordia University-Irvine"
"6946",0.7692,21,613,13560,10140,4536,4194,0.5738,0.4481,23.953929539,0.4531,"San Diego Christian College"
"7007",0.8016,21,1180,16200,7631,2990,4792,0.483,0.3753,25.985915493,0.6207,"Fresno Pacific University"
"7031",0.6959,20,532,18150,9806,6809,5174,0.2857,0.9545,29.651282051,0.2128,"Holy Names University"
"7051",0.953,21,438,6450,6710,3730,4339,0.4848,0.4333,22.174377224,0.2985,"Life Pacific College"
"7053",0.609,19,3664,19500,9758,6207,6024,0.256,0.7012,29.055317324,0.467,"University of La Verne"
"7062",0.6249,19,1390,15552,8787,6552,4879,0.9462,0.5574,21.687361419,0.3404,"La Sierra University"
"7071",0.7985,25,1129,16420,8768,4777,5219,0.3779,0.6048,22.548183254,0.6329,"The Master's College and Seminary"
"7147",0.6454,23,954,21580,19130,7198,4759,0.1303,0.8938,21.953629032,0.3367,"Otis College of Art and Design"
"7149",0.7211,21,925,14135,7750,4378,4760,0.2074,0.3921,28.667682927,0.427,"Hope International University"
"7156",0.9696,23,1358,16335,11414,7210,4037,0.9238,0.4954,23.392086331,0.2113,"Pacific Union College"
"7157",0.7072,24,3213,22180,18764,17928,6832,0.5841,0.7294,22.401467505,0.6858,"University of the Pacific"
"7165",0.3702,27,3114,26370,16006,8848,9449,1,0.8081,22.241209564,0.7536,"Pepperdine University"
"7166",0.5609,25,719,25264,19214,13440,7205,0.8046,0.864,21.279069767,0.654,"Pitzer College"
"7168",0.7604,24,2389,15760,10753,5349,6331,0.4638,0.7567,23.131121643,0.5417,"Point Loma Nazarene University"
"7169",0.2258,32,1531,25990,15384,19164,8789,0.7634,0.9921,19.352,0.8889,"Pomona College"
"7176",0.7704,23,2469,22450,10346,6421,5999,0.3397,0.9983,25.016357688,0.571,"University of Redlands"
"7197",0.5425,22,153,22280,14015,16556,6906,0.2553,0.8654,21.904109589,0.6071,"San Francisco Conservatory of Music"
"7200",0.8245,23,4569,21780,13439,9840,8454,0.5062,0.6429,23.22407045,0.6721,"University of San Francisco"
"7206",0.4479,17,313,11436,7941,3329,4582,0.1967,0.3295,29.629893238,0.2857,"William Jessup University"
"7214",0.6321,26,4363,23925,11362,6604,8575,0.9097,0.8323,19.996621622,0.8084,"Santa Clara University"
"7218",0.5799,28,825,25700,17361,19784,8006,0.6771,0.9375,20.39245283,0.6862,"Scripps College"
"7244",0.3039,29,16021,26956,15443,17594,8821,0.6031,0.6975,21.433449942,0.7626,"University of Southern California"
"7271",0.6451,27,1313,23312,16710,9087,6365,0.6014,0.7872,19.594758065,0.6759,"Westmont College"
"7272",0.7582,23,1206,21878,14939,9609,6951,1,0.9967,20.603225806,0.5,"Whittier College"
"7280",0.7682,21,1969,2384,1728,3578,4459,0.4645,0.5119,22.756442228,0.3068,"Adams State University"
"7287",0.6769,22,6887,3242,4651,5710,6194,0.5612,0.1918,24.791184161,0.4397,"University of Colorado Denver/Anschutz Medical Campus"
"7289",0.676,23,5511,3574,3967,4820,6102,0.5466,0.4494,23.729537367,0.384,"University of Colorado Colorado Springs"
"7291",0.801,25,24413,3566,7782,7689,7825,0.5688,0.7189,21.107245958,0.6666,"University of Colorado Boulder"
"7292",0.5804,23,1611,14360,8059,5247,4552,0.9216,0.995,27.299180328,0.3319,"Colorado Christian University"
"7293",0.566,28,1902,25968,13132,12480,7208,0.87,0.2583,19.763461538,0.8263,"Colorado College"
"7298",0.8231,27,2511,5946,6734,101257,7937,0.6355,0.8161,20.255702281,0.5853,"Colorado School of Mines"
"7300",0.7748,25,20521,3435,4830,6424,7906,0.7224,0.5903,21.352716873,0.6312,"Colorado State University-Fort Collins"
"7312",0.8655,25,4238,23259,13529,8124,7053,0.9453,0.7144,23.615515289,0.6876,"University of Denver"
"7314",0.7955,20,4168,2632,2971,3264,4995,0.6641,0.6999,22.30214425,0.2972,"Fort Lewis College"
"7321",0.8399,20,5110,2373,1768,3501,4614,0.967,0.4988,24.178543151,0.2924,"Colorado Mesa University"
"7322",0.8614,19,18013,3315,2354,3351,4948,0.4467,0.3306,25.597660819,0.2077,"Metropolitan State University of Denver"
"7329",0.7794,22,9557,2984,2878,4301,5861,0.728,0.5903,21.986829727,0.4708,"University of Northern Colorado"
"7336",0.8306,24,5375,19350,7569,3426,5346,1,0.1586,30.999208861,0.6179,"Regis University"
"7340",0.9756,20,4418,2620,2735,4021,5274,0.5146,0.3176,24.689799721,0.2979,"Colorado State University-Pueblo"
"7347",0.8106,21,2232,2479,3394,3596,4739,0.8167,0.6775,21.411764706,0.3043,"Western State Colorado University"
"7374",0.7176,22,5180,21550,11109,9924,5920,0.4475,0.7358,20.410412148,0.6466,"University of Hartford"
"7400",0.7389,22,5208,19890,27224,12872,7387,0.3702,0.8932,20.046846011,0.6325,"Quinnipiac University"
"7410",0.2808,31,2721,28320,15259,17305,8131,0.8937,0.924,19.429144385,0.8902,"Wesleyan University"
"7420",0.476,25,16421,5640,8812,11912,8099,0.9808,0.9904,19.952762053,0.7228,"University of Delaware"
"7425",0.6342,27,5664,23068,19900,10143,8324,0.501,0.7678,20.144309927,0.6576,"American University"
"7427",0.5776,22,404,18700,35094,25135,3673,1,0.58,22.537537538,0.5,"CORCORAN COLLEGE OF ART AND DESIGN"
"7430",0.485,27,9782,27820,14796,11613,8539,0.43,0.8618,20.372353674,0.7316,"George Washington University"
"7431",0.2116,30,6122,26853,16857,9584,8821,0.7064,1,21.638278799,0.9382,"Georgetown University"
"7433",0.5609,25,6841,10320,6899,14512,6662,0.9146,0.9949,20.925729443,0.6786,"Howard University"
"7445",0.7254,20,5462,18900,8481,7293,5669,0.3617,0.3773,29.465527578,0.435,"Barry University"
"7447",0.5555,17,2584,9810,7106,4779,4641,0.7083,0.8622,20.521598968,0.3148,"Bethune-Cookman University"
"7448",0.8295,18,1868,21600,16977,8551,5653,1,0.7554,23.315217391,0.6,"Lynn University"
"7460",0.5836,24,679,9710,8532,3085,3443,0.8372,0.2747,20.157647059,0.4015,"Clearwater Christian College"
"7468",0.7828,24,4442,18420,14168,8929,6144,0.7689,0.7598,23.414410172,0.4824,"Embry-Riddle Aeronautical University-Daytona Beach"
"7469",0.7767,20,10592,2765,5889,10550,6346,0.9919,0.5617,20.523460701,0.4298,"Florida Agricultural and Mechanical University"
"7472",0.2959,24,1973,6870,7199,3156,4290,0.3668,1,21.908098271,0.5352,"Flagler College-St Augustine"
"7474",0.4823,22,460,8580,5873,7393,4395,0.8378,0.9461,19.671309192,0.6632,"Florida College"
"7479",0.8426,25,2146,20900,17513,8606,5897,0.8995,0.7511,20.376430206,0.5316,"Florida Institute of Technology"
"7481",0.6354,22,25035,2512,2617,3503,6598,0.9794,0.6877,23.355433589,0.4437,"Florida International University"
"7485",0.7706,23,2518,16078,10140,4583,5300,0.6294,0.6308,22.490451389,0.5699,"Florida Southern College"
"7506",0.7289,22,2263,16540,8900,9604,5358,1,0.3795,25.869763899,0.4356,"Jacksonville University"
"7527",0.4386,26,9418,24810,18311,18197,7520,0.6953,0.7831,20.946957458,0.6544,"University of Miami"
"7538",0.7002,22,11025,2205,3371,3659,5612,0.9771,0.5546,23.492507493,0.4276,"University of North Florida"
"7544",0.528,23,2241,14000,8271,4179,4300,1,0.562,25.236428571,0.4017,"Palm Beach Atlantic University"
"7573",0.6216,22,28738,2700,2922,7063,6102,0.9708,0.4796,22.962313909,0.4588,"University of South Florida-Main Campus"
"7577",0.7956,24,2132,20475,14086,9651,6596,1,0.8338,20.82,0.601,"Stetson University"
"7586",0.6848,23,3730,17032,10095,4519,5720,1,0.7814,21.385794584,0.482,"The University of Tampa"
"7591",0.2926,21,171,6780,6179,4236,3016,0.3333,0.641,27.741666667,0.1176,"Trinity College of Florida"
"7595",0.7059,20,1053,10540,8844,2759,4242,0.4381,0.3091,29.261447563,0.3725,"Warner University"
"7597",0.4032,18,520,11330,10021,2418,3936,0.5,0.6239,22.378787879,0.4677,"Webber International University"
"7600",0.8239,24,7090,2314,2624,4556,5464,0.9919,0.5726,24.56509434,0.3943,"The University of West Florida"
"7612",0.826,18,2968,2564,1482,4579,5983,1,0.7642,23.570494186,0.2445,"Albany State University"
"7619",0.7843,19,365,9950,10658,3653,4343,0.3659,0.4755,22.280632411,0.375,"Point University"
"7623",0.4789,19,3864,12862,10251,6540,4998,0.9904,0.2371,20.413778878,0.3095,"Clark Atlanta University"
"7633",0.9945,18,1269,8950,5485,3874,4359,0.3824,0.6284,25.576086957,0.2375,"Brewton-Parker College"
"7637",0.5462,20,5177,2223,1289,4457,5600,1,0.3367,28.168687982,0.1615,"Clayton  State University"
"7642",0.7233,25,1142,17750,12139,6185,5151,1,0.9137,26.943977591,0.6408,"Covenant College"
"7649",0.4252,31,6187,26600,12304,23720,9906,0.9735,0.9376,20.784782609,0.805,"Emory University"
"7651",0.4028,21,2051,2580,283,6732,561,0.9474,0.7072,22.043265306,0.2548,"Fort Valley State University"
"7656",0.5855,22,4401,3138,2534,5299,5465,0.727,0.6572,21.944354403,0.3469,"Georgia College and State University"
"7659",0.6138,21,12717,2694,2041,4239,5762,0.8635,0.6699,21.055021669,0.3631,"Georgia Southern University"
"7660",0.5326,21,18530,3472,3743,5366,7186,0.7412,0.4178,23.636691992,0.3533,"Georgia State University"
"7661",0.6523,27,24552,3616,3718,5521,7679,0.8537,0.6514,21.222712934,0.7034,"University of Georgia"
"7672",0.6112,21,967,13225,8693,9339,5177,0.7442,0.9873,23.574144487,0.4492,"LaGrange College"
"7680",0.5506,22,2281,12871,10570,8326,6287,0.5993,0.5252,26.596222729,0.5223,"MERCER UNIVERSITY IN ATLANTA"
"7681",0.8487,25,2289,19728,10570,8326,6287,0.5993,0.5244,26.596222729,0.5262,"Mercer University"
"7683",0.6416,22,2738,13760,8283,7558,5522,0.7707,0.8877,19.824394464,0.5597,"Morehouse College"
"7687",0.3354,21,3662,2594,2184,5082,5521,0.5876,0.6051,23.67768595,0.4684,"NORTH GEORGIA COLLEGE AND STATE UNIVERSITY"
"7691",0.2943,15,880,8640,7003,6547,3907,0.7692,0.7444,21.366438356,0.2333,"Paine College"
"7693",0.6753,20,910,12500,6185,3664,4868,1,0.5508,25.570723684,0.3248,"Piedmont College"
"7697",0.8286,23,5015,17955,16928,6129,5000,0.8981,0.7193,20.784722222,0.4969,"Savannah College of Art and Design"
"7698",0.6109,18,2313,2962,1208,5182,5420,0.7305,0.6894,22.097439545,0.1843,"Savannah State University"
"7699",0.831,23,2162,10640,5788,4700,4632,0.3699,0.5961,32.010289389,0.4755,"Shorter University"
"7703",0.4945,23,2121,12675,7568,8551,5552,0.761,1,19.88153682,0.7754,"Spelman College"
"7704",0.6547,22,3002,2452,3071,5509,6177,0.6364,0.4279,23.71021611,0.267,"Southern Polytechnic State University"
"7712",0.7102,21,8234,2634,2101,4626,5388,0.8051,0.6323,22.578920042,0.303,"Valdosta State University"
"7715",0.7216,24,663,9800,4604,7819,4680,0.6575,0.6016,24.204545455,0.4065,"Wesleyan College"
"7716",0.6358,20,7517,2558,2011,4102,5430,0.8967,0.6624,22.533333333,0.3187,"University of West Georgia"
"7719",0.6518,18,2110,13165,6305,3388,5268,1,0.2846,24.856343284,0.3421,"Chaminade University of Honolulu"
"7724",0.7605,22,6142,9850,8256,3972,5718,0.2192,0.248,24.571639586,0.3948,"Hawaii Pacific University"
"7738",0.9808,20,119,5600,5360,4786,4474,1,0.6364,22.154761905,0.381,"Boise Bible College"
"7739",0.8625,21,14700,3471,2951,5401,5423,1,0.492,25.295654604,0.3437,"Boise State University"
"7743",0.8183,23,8826,3044,2905,8187,6113,0.8383,0.6534,22.097948217,0.5112,"University of Idaho"
"7744",0.7655,24,577,19930,6677,7242,4862,0.701,0.8601,20.084507042,0.4489,"The College of Idaho"
"7752",0.9226,23,10701,2480,1980,4339,5515,0.8432,0.7763,21.259472946,0.6013,"Brigham Young University-Idaho"
"7760",0.8188,26,2252,19608,18009,12023,5762,0.7358,0.8891,19.557142857,0.7439,"Augustana College"
"7761",0.5706,20,1424,13767,9498,4568,5047,0.8407,0.5186,23.042871386,0.4276,"Aurora University"
"7767",0.5159,21,575,9200,5630,3756,4366,0.6034,0.7538,20.702290076,0.3944,"Blackburn College"
"7770",0.6745,26,5172,16000,10625,8694,6466,0.6653,0.7252,20.610922947,0.7016,"Bradley University"
"7787",0.3915,18,4870,3774,2773,8195,5773,1,0.4117,28.084014002,0.1776,"Chicago State University"
"7789",0.4151,32,4215,27825,13114,31342,10420,0.8065,0.9376,21.632964718,0.8916,"University of Chicago"
"7798",0.5739,23,1171,16900,8900,4219,5325,1,0.6836,22.178060413,0.6056,"Concordia University-Chicago"
"7804",0.775,24,13801,17050,15685,7243,7059,0.5536,0.9889,22.721281234,0.6283,"DePaul University"
"7811",0.7784,22,9388,4648,3348,5832,5791,0.8877,0.6496,21.396128423,0.664,"Eastern Illinois University"
"7813",0.7615,23,2269,17500,10511,6309,5989,1,0.4668,23.164533821,0.7072,"Elmhurst College"
"7814",0.7894,21,516,17780,8403,5913,4491,0.913,0.8024,21.104557641,0.5234,"Eureka College"
"7821",0.9465,23,1183,14860,8313,5502,4370,0.6442,0.6237,25.237662338,0.5422,"Greenville College"
"7829",0.6111,23,16473,6592,4908,13580,7371,0.7556,0.5918,21.822738729,0.4404,"University of Illinois at Chicago"
"7832",0.6197,28,27879,6704,5168,6562,7841,0.8827,0.8539,19.804657969,0.7972,"University of Illinois at Urbana-Champaign"
"7833",0.4758,27,2103,23050,11064,12661,6235,0.7143,0.9725,19.357142857,0.8328,"Illinois Wesleyan University"
"7835",0.7789,24,940,11850,7673,6716,5287,1,0.8204,19.882575758,0.58,"Illinois College"
"7837",0.674,29,1784,19756,10536,10216,7791,0.6016,1,22.39243807,0.562,"Illinois Institute of Technology"
"7839",0.8139,23,18276,5037,3971,5513,5648,0.7893,0.9977,20.892506812,0.5727,"Illinois State University"
"7853",0.7791,26,1084,23499,13260,11972,5246,0.9057,0.9091,20.046153846,0.701,"Knox College"
"7862",0.6763,22,3185,15250,13519,6353,5662,0.9221,0.4131,23.664111498,0.5449,"Lewis University"
"7868",0.7133,25,6821,19472,11793,8879,7330,1,0.2155,21.266482759,0.7018,"Loyola University Chicago"
"7874",0.5494,21,608,14500,8922,10266,3723,1,0.5826,22.494407159,0.4423,"MacMurray College"
"7881",0.7824,23,2455,18109,9172,5885,4796,1,0.823,21.7919684,0.6056,"Millikin University"
"7892",0.738,25,1986,18402,15751,8762,5662,0.533,0.6291,21.376770538,0.6538,"North Central College"
"7893",0.7277,23,1584,18680,9744,5089,5244,1,0.6667,23.095890411,0.5223,"North Park University"
"7894",0.6943,22,18090,5175,3060,5274,6063,0.797,0.5368,21.330379747,0.5127,"Northern Illinois University"
"7900",0.8056,23,2221,14220,7345,4746,4976,1,0.7325,22.023023791,0.5125,"Olivet Nazarene University"
"7905",0.9691,23,1034,16360,7143,3472,4622,1,0.6524,21.329896907,0.4594,"Quincy University"
"7908",0.5013,20,1898,14880,21613,5542,4139,0.456,0.3912,23.008171206,0.5659,"The Illinois Institute of Art-Chicago"
"7914",0.5875,21,954,18320,11253,3168,4671,1,0.3696,25.114413076,0.4737,"Rockford University"
"7916",0.8267,22,1092,16720,11085,6994,5797,0.4076,0.5217,22.394366197,0.6405,"Dominican University"
"7919",0.6883,21,2473,16030,7860,3781,5454,1,0.2578,24.663803681,0.4437,"University of St Francis"
"7921",0.7021,22,2916,15750,8370,6100,5988,0.4778,0.4286,23.703682394,0.5123,"Saint Xavier University"
"7938",0.7826,22,16747,4133,3647,8052,5832,0.8403,0.5092,23.229448163,0.401,"Southern Illinois University-Carbondale"
"7939",0.7908,22,9908,3709,3164,6000,5899,0.6712,0.9843,22.403215294,0.3776,"Southern Illinois University-Edwardsville"
"7944",0.9126,23,968,14640,19373,12386,5079,0.5046,0.6467,24.213049268,0.48,"Trinity Christian College"
"7945",0.8304,22,1066,16100,9221,5653,5535,1,0.6985,27.320484581,0.4321,"Trinity International University-Illinois"
"7948",0.8056,22,86,14490,7695,6931,4679,0.3636,0.4444,20.537037037,0.375,"VanderCook College of Music"
"7950",0.641,22,11025,4498,2982,5381,5908,0.8897,0.5731,21.571242801,0.5071,"Western Illinois University"
"7951",0.5407,29,2353,17320,12312,9536,6171,0.6376,0.8727,19.682119205,0.8582,"Wheaton College"
"7954",0.7211,23,2118,16140,8894,6009,4817,1,0.9883,21.505102041,0.5591,"Anderson University"
"7957",0.7609,23,16520,4700,3567,6069,5557,0.7562,0.7151,20.794582723,0.472,"Ball State University"
"7958",0.8981,24,1634,13990,8621,5548,3469,0.6,0.5939,26.052972973,0.5473,"Bethel College-Indiana"
"7959",0.8006,26,3496,19990,9682,7944,5871,1,0.7206,20.05179558,0.6615,"Butler University"
"7967",0.66,27,2291,22400,20140,11932,6707,0.8222,1,19.481536189,0.7674,"DePauw University"
"7972",0.8492,24,2249,18230,10090,7676,5571,1,1,20.889669007,0.6124,"University of Evansville"
"7973",0.847,22,551,14990,7383,3959,4183,0.4561,0.6459,21.31840796,0.3571,"TAYLOR UNIVERSITY-FT WAYNE"
"7974",0.8485,22,1048,15635,6968,6239,5091,1,0.8799,19.679487179,0.6009,"Franklin College"
"7976",0.5395,26,938,15000,9366,9396,4315,0.5396,0.4123,24.096618357,0.8731,"Goshen College"
"7977",0.7532,23,896,12176,5697,2986,4484,0.4457,0.9745,20.111336032,0.9028,"Grace College and Theological Seminary"
"7980",0.7563,24,1043,13500,6274,7926,5847,1,0.8974,19.780788177,0.7082,"Hanover College"
"7984",0.9217,25,946,15920,8021,6358,5017,1,0.7604,21.461382114,0.6494,"Huntington University"
"7998",0.9692,20,10514,4216,3373,4539,5425,0.4,0.5365,24.490471204,0.2099,"Indiana University-Purdue University-Fort Wayne"
"7999",0.7502,21,20690,4537,4631,9398,6682,0.5047,0.5119,24.480251251,0.2143,"Indiana University-Purdue University-Indianapolis"
"8009",0.9357,20,8662,3231,2695,3472,5176,1,0.6881,21.690238095,0.3134,"University of Southern Indiana"
"8010",0.7933,20,9616,4216,2948,5637,5497,0.8814,0.9757,21.626449018,0.3919,"Indiana State University"
"8011",0.8676,20,2373,3684,3269,4203,5271,0.5068,0.5289,26.353095031,0.1858,"Indiana University-Kokomo"
"8012",0.8007,20,5739,3780,3786,4864,5560,0.4813,0.4793,24.824230769,0.253,"Indiana University-South Bend"
"8013",0.812,25,29768,5115,7202,6499,8063,0.8668,0.8984,20.41902081,0.6903,"Indiana University-Bloomington"
"8014",0.7507,19,3759,3734,3240,4659,5626,0.4338,0.5904,26.065661479,0.2589,"Indiana University-Northwest"
"8015",0.8917,20,5414,3721,3185,4140,5795,0.39,0.5338,24.420098039,0.3173,"Indiana University-Southeast"
"8016",1,19,2200,3676,2445,3040,4732,0.3833,0.5333,26.566213314,0.2017,"Indiana University-East"
"8029",0.7944,22,1077,16090,7856,4405,4736,1,0.8957,19.986486486,0.4426,"Manchester University"
"8031",0.8983,25,6057,13496,5468,2711,4696,0.2351,0.9942,30.768969422,0.6052,"Indiana Wesleyan University-Marion"
"8039",0.3424,32,8249,25852,15107,17211,9412,0.6744,0.9324,19.768284347,0.949,"University of Notre Dame"
"8047",0.91,20,3407,4486,3106,4230,5100,0.4085,0.5571,24.19804997,0.1692,"Purdue University-North Central Campus"
"8050",0.6514,29,1637,22990,14717,16078,7663,0.942,0.972,19.467455621,0.7792,"Rose-Hulman Institute of Technology"
"8052",0.7726,20,1467,14540,10257,6292,4363,0.9238,0.5298,25.102021174,0.4,"University of Saint Francis-Fort Wayne"
"8053",0.7652,22,940,16900,8328,4676,4281,0.6747,0.7487,20.792035398,0.5283,"Saint Josephs College"
"8055",0.8245,25,1467,20400,13033,10337,6005,0.9724,0.8704,19.610223642,0.7448,"Saint Mary's College"
"8060",0.7774,26,1850,17490,11051,5517,4792,0.7152,0.9229,21.31840796,0.7959,"Taylor University"
"8061",0.7411,22,1248,16910,8909,5155,4626,0.4688,0.7212,23.52026287,0.5097,"Trine University"
"8062",0.253,26,2895,19632,9860,7432,5712,0.686,0.8295,20.633333333,0.7302,"Valparaiso University"
"8065",0.5019,26,904,19837,6825,10525,5525,0.9896,1,19.547169811,0.6761,"Wabash College"
"8066",0.9362,22,238,7529,8900,9258,4651,0.6452,0.3068,22.670520231,0.5714,"Allen College"
"8068",0.8111,21,973,15540,7578,4436,3875,0.9038,0.7294,23.470409712,0.4402,"Briar Cliff University"
"8069",0.8386,23,2579,18738,7045,4714,5470,1,0.4458,24.979960899,0.5434,"Buena Vista University"
"8075",0.6643,22,929,16190,13079,7025,4636,0.9043,1,23.221153846,0.6202,"Clarke University"
"8076",0.7735,25,1300,20540,7785,8107,5506,0.4634,1,20.149443561,0.6748,"Coe College"
"8077",0.6209,26,983,20795,6501,9224,5612,0.9873,0.8764,19.911231884,0.5429,"Cornell College"
"8081",0.953,24,1323,14880,9099,6064,5202,0.7647,0.8985,19.670382166,0.6676,"Dordt College"
"8082",0.8628,25,2600,18390,7120,5361,6016,0.6932,0.5827,20.894251242,0.7304,"Drake University"
"8083",0.776,21,837,15560,11798,6355,5173,1,0.7108,21.424198251,0.398,"University of Dubuque"
"8085",0.6579,20,255,6116,5919,3683,2878,0.6667,0.6628,21.37012987,0.8841,"Emmaus Bible College"
"8089",0.5705,22,1028,13750,7490,6189,4947,0.9184,0.5852,23.846067416,0.4357,"Graceland University-Lamoni"
"8090",0.9484,20,1463,14194,23648,12580,3957,0.5441,0.3166,24.623400366,0.3051,"Grand View University"
"8091",0.647,30,1485,23530,10390,15671,7133,0.8854,0.927,19.511904762,0.839,"Grinnell College"
"8103",0.8903,25,22552,4110,4265,6208,7379,0.8588,0.6909,20.645305677,0.6527,"Iowa State University"
"8106",0.8439,25,19577,4191,4538,9517,8500,0.8578,0.7327,21.228129468,0.6442,"University of Iowa"
